timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post
1609689600000,9165194,14.1522,14.4523,13.8618,14.1716,0.3969,2.88,1.7,134513404.0,,
1609776000000,5809026,14.1716,14.3071,13.9005,13.9876,-0.184,-1.3,1.08,84360685.0,,
1609862400000,6491771,13.9876,13.9876,13.552,13.6295,-0.3581,-2.56,1.2,91958601.0,,
1609948800000,13099747,13.6198,13.6488,12.7873,12.8357,-0.7938,-5.82,2.42,176519129.0,,
1610035200000,7108935,13.068,14.1232,13.0584,14.1232,1.2875,10.03,1.32,102234339.0,,
1610294400000,23429238,14.52,14.8588,13.736,14.5491,0.4259,3.02,4.34,348767765.0,,
1610380800000,8732378,14.4232,14.5104,14.0941,14.22,-0.3291,-2.26,1.62,128697606.0,,
1610467200000,6082784,14.2103,14.22,13.8715,13.9005,-0.3195,-2.25,1.13,87882745.0,,
1610553600000,8380607,13.8521,14.3652,13.6488,14.249,0.3485,2.51,1.55,121253612.0,,
1610640000000,5490303,14.1232,14.2296,13.8908,13.8908,-0.3582,-2.51,1.02,79570169.0,,
1610899200000,5189796,13.8908,14.007,13.7069,13.794,-0.0968,-0.7,0.96,74184851.0,,
1610985600000,9729931,13.7456,14.4813,13.6488,14.0264,0.2324,1.68,1.8,142246542.0,,
1611072000000,6915600,13.9392,14.0167,13.5811,13.6392,-0.3872,-2.76,1.28,98013949.0,,
1611158400000,4761334,13.7747,13.8037,13.552,13.7553,0.1161,0.85,0.88,67404842.0,,
1611244800000,4828208,13.765,13.765,13.5908,13.6101,-0.1452,-1.06,0.89,68030763.0,,
1611504000000,6444078,13.6004,13.6488,12.9132,13.1745,-0.4356,-3.2,1.19,88050225.0,,
1611590400000,14265075,13.5617,14.4136,13.5617,13.6682,0.4937,3.75,2.64,206566651.0,,
1611676800000,7127900,13.5424,13.6392,13.2229,13.2229,-0.4453,-3.26,1.32,98641184.0,,
1611763200000,7186776,13.3294,13.3488,12.9132,12.9228,-0.3001,-2.27,1.33,96756461.0,,
1611849600000,4803330,12.9422,13.068,12.7873,13.068,0.1452,1.12,0.89,64076654.0,,
1612108800000,9300311,12.9035,13.8618,12.9035,13.5133,0.4453,3.41,1.72,129394697.0,,
1612195200000,5149474,13.6972,13.736,13.2713,13.3294,-0.1839,-1.36,0.95,71267453.0,,
1612281600000,3775550,13.3294,13.4843,13.0971,13.0971,-0.2323,-1.74,0.7,51693822.0,,
1612368000000,3405283,13.0196,13.1745,12.9616,13.1455,0.0484,0.37,0.63,45935304.0,,
1612454400000,4496935,13.0584,13.3778,12.9616,12.9712,-0.1743,-1.33,0.83,60981386.0,,
1612713600000,4003698,13.0003,13.31,12.8454,13.0971,0.1259,0.97,0.74,54307723.0,,
1612800000000,4596012,13.0971,13.3875,13.0584,13.2907,0.1936,1.48,0.85,62909702.0,,
1612886400000,4347976,13.3391,13.552,13.2713,13.4262,0.1355,1.02,0.8,60233917.0,,
1613577600000,7620811,13.494,14.1135,13.4843,13.9489,0.5227,3.89,1.41,108926907.0,,
1613664000000,7190619,13.9683,14.2974,13.8424,14.2393,0.2904,2.08,1.33,104973403.0,,
1613923200000,6647973,14.2684,14.3652,14.0167,14.0167,-0.2226,-1.56,1.23,97385418.0,,
1614009600000,4525707,13.9586,14.1328,13.7553,13.8134,-0.2033,-1.45,0.84,64838256.0,,
1614096000000,4378871,13.8715,14.1522,13.8037,13.8715,0.0581,0.42,0.81,63208949.0,,
1614182400000,3768139,14.0651,14.0651,13.6779,13.7069,-0.1646,-1.19,0.7,53530932.0,,
1614268800000,4529667,13.6488,13.794,13.3875,13.5036,-0.2033,-1.48,0.84,63448813.0,,
1614528000000,3527984,13.6198,13.794,13.5617,13.6972,0.1936,1.43,0.65,49758722.0,,
1614614400000,16645681,13.736,15.0234,13.736,14.3168,0.6196,4.52,3.08,247506919.0,,
1614700800000,12559323,14.2296,14.9363,13.9973,14.6846,0.3678,2.57,2.32,187901607.0,,
1614787200000,12673523,14.6943,15.2848,14.5297,14.8492,0.1646,1.12,2.35,195522008.0,,
1614873600000,9947262,15.004,15.1492,14.6652,14.9653,0.1161,0.78,1.84,153540634.0,,
1615132800000,9565785,14.9072,15.0524,14.3845,14.5297,-0.4356,-2.91,1.77,144900891.0,,
1615219200000,6015819,14.5297,14.8492,14.0167,14.2296,-0.3001,-2.07,1.11,88891743.0,,
1615305600000,5878054,14.22,14.3264,13.8328,13.8424,-0.3872,-2.72,1.09,85364794.0,,
1615392000000,8960144,13.8812,14.6265,13.6972,14.4232,0.5808,4.2,1.66,131090563.0,,
1615478400000,10507353,14.4426,14.9653,14.0941,14.8395,0.4163,2.89,1.95,158773627.0,,
1615737600000,8372770,14.8395,14.946,14.3845,14.6265,-0.213,-1.44,1.55,126747243.0,,
1615824000000,14410372,14.9944,15.5848,14.8104,15.3138,0.6873,4.7,2.67,227399092.0,,
1615910400000,9049573,15.004,15.0718,14.6459,14.7427,-0.5711,-3.73,1.68,138839825.0,,
1615996800000,10496114,14.7427,15.3912,14.6072,15.1783,0.4356,2.95,1.94,163897255.0,,
1616083200000,12427796,14.9072,15.6332,14.8104,15.3719,0.1936,1.28,2.3,196559220.0,,
1616342400000,23254506,15.4784,16.3012,15.4009,16.214,0.8421,5.48,4.3,384699919.0,,
1616428800000,11976616,16.156,16.1753,15.7397,16.0301,-0.1839,-1.13,2.22,197540729.0,,
1616515200000,11693387,15.9236,16.456,15.6913,15.8075,-0.2226,-1.39,2.16,193754972.0,,
1616601600000,7867394,15.6236,16.0592,15.3525,15.7494,-0.0581,-0.37,1.46,127707045.0,,
1616688000000,8424839,15.8172,16.1463,15.73,15.8752,0.1258,0.8,1.56,139151552.0,,
1616947200000,9451990,15.914,16.0204,15.1976,15.2944,-0.5808,-3.66,1.75,151375924.0,,
1617033600000,8923251,15.3719,15.3719,14.6846,14.8201,-0.4743,-3.1,1.65,136966853.0,,
1617120000000,5911011,14.7136,15.0524,14.5684,14.8976,0.0775,0.52,1.09,90498478.0,,
1617206400000,3956996,14.8492,15.0524,14.6846,14.9653,0.0677,0.45,0.73,60960839.0,,
1617292800000,7636807,14.9363,15.004,14.3458,14.4813,-0.484,-3.23,1.41,114983109.0,,
1617638400000,3855853,14.5394,14.6943,14.4232,14.4813,0.0,0.0,0.71,57853005.0,,
1617724800000,4495250,14.4716,14.6072,14.2393,14.5007,0.0194,0.13,0.83,67096201.0,,
1617811200000,4713133,14.5297,14.6168,14.2684,14.278,-0.2227,-1.54,0.87,70079561.0,,
