symbol,current,amount,pcf
SH603993,9.13,1959089559.0,12.041472397628004
SZ003026,32.37,297573102.48,44.707423672484246
SZ002141,1.0,21789306.4,
SZ300459,3.51,615618032.45,36.32168511452431
SZ002151,25.19,456690643.78,
SZ000078,2.27,67469640.84,
SH600754,23.93,477888312.0,5.259958786617227
SH603392,68.7,444638147.0,46.822038877194444
SZ301101,23.6,83843032.3,23.84024883133374
SH600187,1.54,119830003.0,266.2754158772079
SH600822,8.0,72117905.0,19.10987556950733
SZ002895,17.55,204105183.89,24.484201610211542
SZ002567,5.48,357900348.39,11.231161267164207
SZ300284,7.59,564380932.74,77.9455028308102
SH600970,10.5,260535229.0,6.3933285876533965
SZ002888,13.93,164681804.18,37.96939007981728
SH601098,12.12,155835954.0,6.3788779366227635
SZ002739,11.53,579616715.02,9.01957046254422
SZ003025,12.5,140727866.94,17.195270030679115
SZ000620,1.63,96899423.8,1124.890869299009
SZ002714,44.67,1536651440.72,12.97678417675058
SZ000955,3.02,55017912.1,55.34146092745048
SH600547,29.36,1227032780.0,16.465696236549977
SH603979,48.93,502326726.0,26.91201615701519
SZ000695,8.13,15162839.95,24.702102275052937
SZ301141,32.0,242379402.83,672.1698423115758
SZ301118,18.3,165183976.96,122.90256617006865
SZ002400,4.91,293346202.34,
SH605499,235.24,441123416.0,27.539768851842542
SZ000975,18.05,756267800.83,18.178113315001923
SH601918,9.37,410647409.0,5.953471103225235
SH600584,34.75,1808621029.0,13.589910896957187
SZ300350,4.7,93470745.9,
SH600546,13.6,409854767.0,5.710985287338681
SZ300063,3.89,170892023.74,8.730549033088089
SH601799,127.4,189015088.0,44.78846128327199
SZ000551,9.1,113756635.82,12.616979846133558
SH600630,7.98,219056327.0,22.131481405978125
SH688020,33.23,59511970.0,1558.3383848902972
SH600985,15.15,455188366.0,3.0725440798578734
SZ301528,41.26,37669133.94,52.998779097625786
SZ003015,10.38,423021769.9,21.98553235887549
SZ300198,1.26,114943956.0,7.455494423883413
SZ300711,15.81,241976655.0,76.58843934816818
SH688083,58.52,106066099.0,152.05257487444706
SZ301307,20.42,107123498.72,6.71666560075068
SZ002330,3.82,41733195.68,
SH601958,11.2,331595750.0,10.578912348396157
SZ300605,9.9,79417761.09,116.835078635455
SH603800,19.54,56364739.0,17.16784955479094
SZ300651,13.17,58822701.82,11.32696420515748
SZ002496,2.25,47484243.54,
SZ000526,52.3,168257044.0,9.101244568946745
SZ300291,4.2,132426316.22,
SZ002259,2.27,4171230.0,18.04518643344325
SH900927,0.292,74256.0,0.6975104588264386
SZ300578,15.3,171116479.0,35.987140840365996
SH600975,6.52,303611157.0,
SH600689,6.88,59585496.0,28.779039717865324
SZ002461,8.25,156981615.9,22.39183740000004
SH688069,14.29,13336354.0,23.354138305428542
SZ300345,6.4,21629024.0,
SZ301062,10.78,80359442.0,22.79143205820307
SZ300274,64.01,2076565846.51,18.208787014221496
SZ300765,25.66,361357856.8,
SZ000951,14.53,282994373.2,4.565587583690544
SZ002273,20.12,2047620903.04,19.349235625284436
SZ301248,15.46,128015156.84,
SH601939,7.59,1046915618.0,3.9418180364667075
SZ300046,17.63,756230155.5,57.41553381373652
SZ002384,26.36,2492084220.72,9.140793214189502
SH603286,18.05,340635323.0,56.7042941882174
SZ300052,11.84,100319147.49,79.04719311568348
SZ000546,4.2,130535806.0,14.578941800972578
SH601928,10.5,195557320.0,12.300039747585037
SH600361,4.23,509251244.0,
SZ002599,4.95,69256632.14,20.19558393319598
SZ300761,22.82,86018366.0,10.68342735040462
SH603871,18.66,241032062.0,12.96356595980197
SH601088,42.39,1044852717.0,9.459287272617003
SH600993,26.39,131658132.0,15.081712237548262
SZ301328,40.2,135652948.56,28.67179813220155
SH600483,11.7,172836315.0,6.471956993476605
SZ000338,14.67,1075501200.6,4.331642448851036
SH605296,34.14,118944673.0,94.61896500028517
SZ000426,14.73,865698279.46,15.414611920703187
SH601811,13.34,83279885.0,7.127796059448111
SH600329,33.1,164635509.0,61.84106164463229
SZ002867,13.08,154984253.33,
SZ002458,8.31,101711708.23,11.650369301874507
SZ300585,11.71,157432944.0,86.05023623415973
SH688692,195.3,193734975.0,53.579093048297295
SZ002708,8.02,365394827.0,
SZ300400,11.13,97351992.0,28.39506625375477
SZ003041,12.27,29633525.84,11.309713089506236
SZ002840,15.4,183594157.86,28.333884419176364
SZ002155,19.28,1277459159.23,28.347535019959672
SZ002190,15.09,141967564.48,51.022875517504716
SH688019,119.5,202658052.0,41.51127134621742
SZ300045,18.01,849610975.61,73.33599610130162
SZ301091,25.59,401223357.72,142.87824608735087
SH601288,4.72,1896670201.0,0.9700126600310748
SZ300779,44.8,192060215.36,32.572588567823736
SH603665,23.52,51737534.0,36.65572185660573
SH601001,16.0,251277421.0,5.027518779957649
SZ003010,12.1,185410120.4,
SZ301127,8.2,71770332.53,
SZ300623,18.53,498625873.84,13.471305433673791
SH600226,2.06,41504483.0,
SH601117,7.44,366654755.0,5.420827087042519
SZ301226,18.18,107412171.16,42.04010380342446
SZ301165,32.72,96860608.72,
SZ000802,5.0,22489978.98,17.44593633378004
SH600233,14.66,184107741.0,9.555269739634111
SH601225,25.54,592389453.0,6.6460132150521956
SH601666,10.5,363489368.0,4.9319511820318755
SZ300594,13.96,65171942.54,
SZ002523,2.15,73521299.51,10.876513816469489
SH601333,3.47,211930360.0,12.837464183355724
SH600025,11.73,323352434.0,12.118300604893285
SH605055,4.35,17119944.0,4.7088520996790395
SZ001379,13.5,108458317.7,
SH600161,23.95,442653773.0,21.125926816757392
SH600028,6.55,1104517180.0,4.7986289572951595
SZ300600,5.25,25857233.6,
SH600664,3.07,192498712.0,15.580602472676503
SZ300507,5.76,217729461.02,
SZ301339,19.89,236299849.2,31.733793236781818
SH600561,3.98,57237423.0,3.2773862189224032
SZ002058,7.52,29058143.98,
SZ300906,19.6,58230941.0,29.52355061962895
SZ003816,4.91,664448338.04,7.240717821020886
SZ301269,73.3,173194062.51,230.28364974684285
SH600350,9.02,116877351.0,7.439696222112817
SZ002661,8.6,121633952.82,3.811927019324033
SZ002234,8.14,37582654.3,
SZ000876,9.52,245308844.0,2.7528971203943886
SH601699,16.37,455279480.0,6.756684639326384
SZ300795,16.4,25608904.82,21.398265019290697
SH600710,8.27,102051154.0,7.211545162680806
SH688052,91.04,137288256.0,
SH603107,16.2,71260612.0,47.72301097253447
SZ300776,47.91,317023281.43,17.16716731617857
SZ002832,23.81,103968456.7,10.193198896769418
SH603023,1.87,17075298.0,24.18640465183192
SH600605,24.85,69335212.0,10.037435941551326
SZ002241,22.16,3507131167.73,7.92742444285969
SZ002823,15.98,906559401.96,22.91499794461826
SH603998,10.89,42884910.0,24.126843362247268
SZ000039,8.5,298547545.1,280.27138595354126
SZ002338,30.25,287856604.12,53.42023211615785
SH605188,8.54,69679171.0,18.72983784571537
SZ300758,10.95,314909072.8,92.83789951005865
SZ002780,9.07,46067684.0,51.03535314270394
SZ300851,22.41,28480348.0,143.07293541382631
SH603255,24.01,37675284.0,28.737667510253644
SZ001965,11.97,284059870.77,15.83341947496651
SH600988,20.2,1085372055.0,15.799906953315148
SH601019,11.09,151829236.0,11.872185617810967
SH601898,12.04,337670496.0,4.525766641744388
SZ300919,29.52,234423201.4,4.556868335236216
SZ300763,59.95,1186378111.88,92.68899370931979
SZ002195,2.42,230941481.41,30.739285383420537
SZ000729,9.73,337452180.26,15.125547434928112
SH600623,6.36,166131073.0,
SZ002327,9.26,51921301.77,10.685501856833257
SH605158,6.39,53969516.0,7.744631639417467
SH601156,17.45,179187690.0,7.282956100037817
SZ301004,87.66,87179073.48,14.004684965234008
SH688629,27.86,299642574.0,103.17784426897057
SZ300988,21.46,215071430.8,64.81600264595603
SH688047,88.9,159273838.0,
SH601658,5.02,755879146.0,1.0722032832637254
SZ000909,3.54,30668525.0,4.350141598031822
SZ301132,31.0,421938218.46,34.74256195458543
SZ002005,1.02,16970847.0,
SH688041,72.0,1041696174.0,148.23618510031764
SH900922,0.36,46731.0,1.5058799750732166
SH600119,6.22,92004766.0,
SH600079,17.59,273994653.0,12.451653851093548
SH603037,13.49,206514966.0,17.417276997915597
SH600520,14.99,194774681.0,21.694141530872155
SH601398,6.2,2640918177.0,1.3163744423771624
SZ300846,9.83,209473173.76,27.58271553666216
SZ301195,29.81,116921762.78,13.240267827058888
SZ002047,1.58,41571468.29,
SH601083,9.44,70630103.0,9.297344764946786
SH600909,4.22,168670499.0,
SZ300180,3.7,141640983.0,13.540249395604175
SZ000999,41.9,336405099.34,11.50836152592292
SZ002371,334.85,2074185105.77,54.10284525346864
SZ000529,5.86,30821732.2,79.52073436632807
SH601188,3.21,99037270.0,16.595609083918006
SH600968,4.3,157146039.0,8.730799987669684
SZ300969,79.2,294107329.32,23.134232308409064
SH601611,8.14,197466975.0,31.353726863751973
SH688333,50.27,188463505.0,
SZ300462,10.4,307377732.15,14.064974545868536
SZ002299,12.63,124383061.0,6.931925838204282
SH688311,17.74,68250097.0,
SH603283,73.73,445947585.0,10.2444473465203
SH601899,18.82,2392322767.0,13.445010029699443
SH600900,30.43,2382355824.0,10.754291775119198
SH601000,5.01,188399791.0,11.81574035716975
SZ300960,15.13,37432892.27,18.634937542115185
SH688099,69.68,366202174.0,23.88538138726176
SH600938,33.86,1255275412.0,7.396502590081423
SZ300781,51.66,648081447.82,91.00864406385156
SH603103,13.66,80964016.0,9.729794637312533
SH600497,5.71,853820521.0,10.114992297672016
SZ000933,20.63,436363138.0,4.511215245317828
SH601229,7.47,293463504.0,13.832251734475744
SZ300376,2.33,122638428.07,11.585783198320499
SH601077,5.27,269861929.0,0.8406904800679234
SH900945,0.175,115523.0,0.8063427792002139
SH688082,90.33,104685647.0,
SH688012,143.44,704511897.0,
SZ002490,1.79,24480946.0,14.669780270814735
SH603557,1.79,3915465.0,
SH600750,22.85,152995598.0,13.605602792627023
SH601988,4.85,1058268744.0,4.314488656165861
SZ000543,9.14,243236985.4,9.071728768042991
SH605001,4.91,38624109.0,
SH688656,25.15,13429461.0,14.644201775001173
SH688630,57.26,141547176.0,
SH601600,8.05,1354018977.0,5.179564678162122
SH600566,32.33,266280738.0,8.511852067140397
SH601601,28.14,592588032.0,1.9556760185514281
SH688279,100.16,61387893.0,67.61494149623574
SZ001201,15.74,75066053.74,
SZ002159,13.26,64507549.82,7.521396955899682
SZ300528,7.36,178662465.0,幸福蓝海,7.198296930808572
SZ301016,15.29,115252017.5,雷尔伟,218.12411311234817
SZ301213,30.83,87382901.37,观想科技,
SZ301488,65.4,272060718.2,豪恩汽电,113.99424911176561
SZ300218,17.64,450148477.4,安利股份,12.602876426664677
SZ301369,50.11,478987618.16,联动科技,241.55214527544402
SZ300836,40.79,153672535.55,佰奥智能,18.232804091963008
SZ300391,5.64,454977333.7,长药控股,
SZ002193,3.15,13483890.0,如意集团,296.2703544773211
SH600626,2.94,97744993.0,申达股份,25.791380207352155
SZ000735,4.91,246040742.76,罗牛山,13.567939076578341
SZ002905,6.34,31044509.22,金逸影视,6.381805105962237
SH603790,11.4,155556586.0,雅运股份,28.269863170627197
SH603577,7.34,96057331.0,汇金通,14.326618632934432
SZ000004,10.96,148037012.58,国华网安,
SH600650,11.41,52579573.0,锦江在线,25.549194674892032
SZ002383,5.93,104671283.76,合众思壮,16.57790276602744
SH603150,27.69,141715400.0,万朗磁塑,26.34080107384382
SH603004,18.13,135994320.0,鼎龙科技,19.72816389777131
SZ002829,19.12,660591645.9,星网宇达,103.82255996267357
SH603196,7.36,59714801.0,日播时尚,12.011329554921728
SZ002253,11.22,295084806.0,川大智胜,47.94754378468208
SZ002399,9.68,16158562.64,海普瑞,9.515585752807718
SH600084,4.84,10968094.0,中信尼雅,
SH601028,14.85,530550819.0,玉龙股份,
SZ002995,15.52,215696560.62,天地在线,36.42231660444233
SZ002982,15.96,36110212.4,湘佳股份,18.94128997254753
SH603055,11.79,338038169.0,台华新材,51.77219591479488
SH603958,8.5,69542037.0,哈森股份,19.401766891947997
SZ002114,4.97,140648027.54,罗平锌电,31.878693464514313
SH603223,6.85,52923708.0,恒通股份,20.10773193867795
SZ002098,6.09,8273265.0,浔兴股份,8.691484198928448
SZ002678,4.43,54500859.69,珠江钢琴,
SZ300807,40.71,814385735.5,天迈科技,
SZ300713,17.89,663039712.19,英可瑞,2269.297984560961
SZ300546,14.79,542501490.37,雄帝科技,
SZ301070,38.4,41584756.0,开勒股份,189.83406981434692
SZ301548,54.07,113008687.0,崇德科技,59.0870495148396
SH600399,6.51,734032891.0,抚顺特钢,26.968349961784593
